Pitaq pay?,Who is she?
Payqa doña Roberta.,She's Miss Roberta.
Pay llaqta warmichu?,Is she a city-dweller?
"Arí, payqa llaqta warmi.","Yes, she's a city-dweller."
Pitaq kanki?,Who are you?
Ñuqaqa Robert kani.,I'm Robert.
Rosa sipaschu?,Is Rosa a young woman?
"Arí, Rosaqa sipas.","Yes, Rosa is a young woman."
Roberta panaykichu?,Is Roberta your sister?
Juan wawqiykichu?,Is Juan your brother?
Qam Rosachu kanki?,Are you Rosa?
Pay wawqiykichu?,Is he your brother?
"Arí, payqa wawqiy.","Yes, he's my brother."
Panayki imillachu?,Is your sister a young girl?
Tatayki waynachu?,Is your dad a young man?
Lluqalla kankichu?,Are you a young boy?
Lluqallapuni.,I'm really a young boy.
Paya españolta parlanchu?,Does the old woman speak Spanish?
Machu runa runasimita yachakunchu?,Does the old man learn Quechua?
Qhari maymantataq?,Where is the man from?
Qhariqa Perusuyumanta.,The man is from Peru.
Imilla Boliviasuyumantachu?,Is the young girl from Bolivia?
"Arí, imillaqa Boliviasuyumanta.","Yes, the young girl is from Bolivia."
Pay sipaschu imillachu?,Is she a young woman or a young girl?
Pay lluqallachu waynachu?,Is he a young boy or a young man?
