Imaynalla mama María?,How are you Ms. María?
Mana allinchu. Unqusqa kachkani.,Not good. I’m sick.
Imaykitaq nanasunki?,Where does it hurt you?
Umay nanawan.,My head hurts.
Umaykichu nanasunki?,Your head hurts?
"Arí, umaypuni.","Yes, my head."
Rinriyki nanasunkichu?,Does your ear hurt?
"Mana, mana rinriychu nanwan.","No, my ear doesn't hurt."
Tata Juanrí?,What about Mr. Juan?
Paypis unqusqallataq.,He's also sick.
Payta imantaq nanan?,Where does it hurt him?
Wiksan nanan.,His stomach hurts.
Wiksallanchu nanan?,Only his stomach hurts?
"Arí, wiksallanpuni nanan.","Yes, only his stomach hurts."
Yariqachkasunkichu?,Are you hungry?
"Arí, yariqachwanpuni.","Yes, I'm hungry."
Qunqurniykichu nanasunki?,Does your knee hurt?
"Arí, qunqurniypuni nanawan.","Yes, my knee hurts."
Unqusqa kankichik?,Are y'all sick?
"Arí, unqusqapuni kayku.","Yes, we're sick."
